english,lunyoro
We will bury our dead with the songs that celebrate their life.,nitwija kuziika abafu nebizina ebyokujaguza obwomeezi bwabo.
The new wildlife corridor has allowed animals to move safely between habitats.,omuhanda omuhyaka ogwebisoro gubikoonyire kurungi mubikoro byabyo
This house was built in 1990.,enju enu ekombekanizibwa omumbi atendekerwe
The government will create new national parks to protect biodiversity .,gavumenti niija kwongeraho amalindiro g'ebisoro amahyaaka nu erinde ebyobuhangwa.
The waste recycling program has reduced landfill waste by thirty percent.,kaliitango yokwaangura ebikozesiibwe ebinagirwe n'ebisasiro mw'itaka no bucweeka asatu ha kikumi.
"My grandmothers hands were never still - always cooking , sewing , or gardening.","engaro zanyinenkuru nyowe tizikalekaga kukora- zaikaraga nizicumba , nizisona ,rundi nizilima."
I keep track of all my expenses.,nyowe nyahura kandi mpondereza emisasurre yange yoona
My faith gives me a peace that dosen't make sense given my circumstances.,okwikiriza kwange kumpa obusinge obutazooka kusigukirra ebidukura bamu.
If YOU'RE EVER FEELING STUCK REMEMBER THAT EVERY DAY IS A CHANCE TO BEGIN AGAIN.,obworaba ohurra oremeriirwe ijuka ngu buli kiro mugisa gw'okutandika bukyaka.
Weeding is done regularly to prevent competition.,kwombera kukorwa buli kasumi kutangirayo omwaata.
The workers harvested the sugarcane by hand yesterday.,ijo abakozi bakatema abikaka n'emikono.
The year everything fell apart was the year I found my faith.,omumwaka ogu buli kimu kyasisikaire nugwo mwaka ogunatungire okwikiriza kwange.
I pray for the environment-it's God's creation and our responsibility.,"nsabira ebyobuhangwa, habwokuba bikahangwa ruhanga kandi bujunanizibwa bwaitu kubirinda."
My cousin had been learning to play the royal drums from the master drummer.,isento nyowe abaire nayeegeraho okwigurra empango kuruga hali omujaguzi.
The women are making the traditional clothes for the ceremony.,abakazi nibakora engoye ezomukoro.
How often do you experience these migraines?,okira kuteerwa omutwe ogwamaani.
My mother had been teaching the young girls to cook traditional food.,nyina nyowe ayegesa abaisiki abato encumba ey'obuzalirwana.
The environmental organization is restoring degraded mangrove forests along the coast.,ekitongole kyebitwehinguliriize nikigaarra buhyaaka ebibira by'emunywa maizi ha nkigiijo zamayanja.
