english,lunyoro
The healer used the power of the ancestors to cure the sick man yesterday.,ekiro ekyaija omufumu akakozesa amaani agabaisenkuru itwe okukiza omurwaire.
She had been working as a freelance consultant for years before she joined the firm.,abaire nayekozusa atakahungire omulimo gwobutoose
She had been working in the customer service department for years before she became manager.,omukazi akabanza kukora omukitongole kyokuhereza abaguzi atakabaire kirolerra mirimo.
The children are designing costumes for the Halloween parade.,abaana nibakora ebyokujwaara byekiro kyokuraba murubuga nibasaba mugenzo gwabajungi
I keep receipts for tax purposes.,nyowe nyahura resiiti habwe kigendererwa eky'omusoro.
Mount Stanley's highest peak is Margherita peak.,omutwe gworusozi stanley oguraihire muno nugwo margherita.
Lake Victoria is the largest lake in Africa.,enyanja victoria niyo erukukira obukooto omu africa.
He has diversified his income streams.,omusaija agalihize emoro ezentahya ye
The Empire of Kitara is remembered in epic poems and songs.,"obukama bwa bunyoro nibwijukibwa omubizina, okwebuga, okutebya nenganikyo ."
"I told myself l'd go to bed early ,and then watched videos until 2AM.","nkegambira nti ningenda kubyama kara, kandi namalirra nsugire ebisani mpaka saaha munaana ezanyenkyakara."
He has achieved financial independence.,omusaija atungire okweyemerezaaho omusimbi
I sang karaoke with my friends at the party last night.,nzinirenge ekidandali nabanywaani bange ekiro
The chickens are being fed with maize grain.,enkoko nibaziriisa enjuma z'ebicooli.
The Bachwezi are associated with the origins of kingship.,oburugwa obwendema eya bakama nibusangwa omu bacwezi.
The new comedy club will have open mic nights for amateur comedians.,ekitebe kyemizaano erukusekesa eihyaaka nikiija kukinguraho okuzaana kwanyegondize okwekiro habwabazaani abebigene abato.
The new currency notes will be introduced soon.,sente zempapura empyaka niziijza kutandikisibwa bwango
What's your family history of cancer?,omukika kyawe haliyo oburwaire bw'ekookoro?
We will welcome the new chief with a big celebration next month.,mwezi gurukwija nitwija kutangirra omunyoro omuhyaha.
"We stay up all night during Laylat al-Qadr,praying and seeking forgiveness.","turaara niturora omukasumi ka laylat al-qadr, nitusaba kandi nitwesengereza okuganyirwa."
When my mother was diagnosed the whole family came together in a way l've never seen before.,nyina nyowe obu bamusemiize eka yoona eketeraniza mumulingo ogutaka roraga.
"My pastor has been with our family through births, deaths and everything in between.","omuliisa wange abaire nekka yange omukuzaarwa, omukufa, nebindi byoona hagati omu."
The clinic offers same-day appointments for urgent cases.,akarwarro nikaikiriza omurwaire kurora omufumu ahanaho obwakuba olikubi muno.
I need to have my blood sugar levels checked regularly.,ninyetaaga okukebera sukali yange buli kaire.
The river reclamation project has been restoring the ecosystem for five years.,"omulimoyokugarra ebisaaru munsisana, yabyo etaaha neekoraho ebintu ebiina obwomeezi n'ebitaina bwomeezi kumara emyaaka etaano."
"We have this tradition of opening one gift on Christmas Eve , and its always pajamas.","twine omugenzo gwokukingura ekisembo kimu hanweri okuzooka , kandi nukwo butoosa."
I remember the exact moment l knew what l wanted to do with my life.,ninyijuka obwire obu bwonyini nkamanya ekiniakwetaaga kukorra nobwomezi bwange.
"If you're the praying type, could you say one for my family?","obworaba oli musabi, nosobora kusabira abeeka yange?"
The golden rule exists in every faith tradition-treat others as you want to be treated.,ekiragiro rumara kiri omudiini zoona-okorre abandi iwe ebyokwenda bakukorre.
Swahili traders established routes into the interior.,abasubuzi abaswahiri bakatema emihanda kutaaha hagati.
The guinea fowl made a loud chattering sound when it saw the snake.,entajumba ekakunga namaani obuyarozire enjoka
"When I couldn't walk, I learned to be grateful for the days I could.",obu nayesangire ntakuurubata nubwo nayegere kusiima ebiro ebinkaba ninsobora.
Where did you buy that beautiful dress?,ekitehayi kirungi eki okakigura nkaha
We buried my grandfather on a rainy Tuesday that matched everyone's mood.,tukaziika isenkuru nyowe omunjura kyakabiri yahindura buli muntu entekereza.
What are the side effects of this drug?,buleemeziki obusobora kurunga omu kukozesa omubazi gunu?
The healer has used the power of the ancestors to cure the sick man yesterday.,omujajabi akozeseze amani gabaisenkuru okukiza omusaija omurwaire ijo
She works as a freelance consultant for years before she joined the firm.,akora nk'omwehanuzaho kumara emyaka atakatahire ekitongole
She will work as a freelance consultant for years before she joined the firm.,naija okukora nk'omwehanuzaho kumara emyaka atakatahire ekitongole
She has worked as a freelance consultant for years before she joined the firm.,akozire nk'mwehanuzaho kumara emyaka atakatahire ekitongole
She works in the customer service department for years before she became manager.,akora omukicweka abaguzi batungira obuyambi kumara emyaka atakabaire omurolerezi
She will work in the customer service department for years before she became manager.,naija okukora omukicweka abaguzi batungira obuyambi kumara emyaka atakabaire omurolerezi
She has worked in the customer service department for years before she became manager.,akozire omukicweka abaguzi batungira obuyambi kumara emyaka atakabaire omurolerezi
The children designed costumes for the Halloween parade.,abaana bakakora ebijwaro by'ekiro ky'ebimeke
The children will design costumes for the Halloween parade.,abaana nibaija okukora ebijwaro by'ekiro ky'ebimeke
The children have designed costumes for the Halloween parade.,abaana bakozire ebijwaro by'ekiro ky'ebimenke
I kept receipts for tax purposes.,nkahura risiti habwesonga z'omusoro
I will keep receipts for tax purposes.,ninyija okwahura risiti habwesonga z'omusoro
I have kept receipts for tax purposes.,nyahwire risiti habwesonga z'omusoro
Mount Stanley's highest peak was Margherita peak.,magarita niko akosolya akacyasingireyo okuraiha ha kasozi sitanule
Mount Stanley's highest peak will be Margherita peak.,magarita nikaija okuba akasolya akacyasingireyo okuraiha ha kasozi sitanule
Mount Stanley's highest peak has been Margherita peak.,magarita kabaire kasolya akacyasingireyo okuba karaire ha kasozi sitanule
Lake Victoria was the largest lake in Africa.,enyanja victoria ekaba nesingayo obukoto muafrika
Lake Victoria will be the largest lake in Africa.,enyanja victoria nija okuba nesingayo obukoto mufrica
Lake Victoria has been the largest lake in Africa.,enyanja victoria ikaire nesinganyo obukoto mufica
He diversifies his income streams.,agalihya emihanda y'entahyaye
He diversified his income streams.,akagalihya emihanda y'entahyaye
He will diversify his income streams.,naija okugalihya emihanda y'entahyaye
The Empire of Kitara was remembered in epic poems and songs.,obukama byakitara bukaijukizibwa omunganikyo n'omubizina
The Empire of Kitara will be remembered in epic poems and songs.,obukama byakitara nibwija okwijukibwa omunganikyo n'omubizina
The Empire of Kitara has been remembered in epic poems and songs.,obukama byakitara bwikaire nibwijukibwa omunganikyo n'omubizina
"I tell myself l'd go to bed early, and then watched videos until 2AM.","nyegambira nyowe nyeka ninyija okugenda omukitabu bukyali, kandi narora vidiyo mpaka saaha munana ez'ekiro"
"I will tell myself l'd go to bed early, and then watched videos until 2AM.","ninyija okwegambira nyeka ninyija okugenda omukitabu bukyali, kandi narora vidiyo mpaka saaha munana ez'ekiro"
"I have told myself l'd go to bed early, and then watched videos until 2AM.","nkegambira nyowe nyeka ninyija okuganda omukitabu bukyali, kandi narora vidiyo mpaka saaha munana ez'ekiro"
He achieves financial independence.,atungire okwelema omubyasente
He achieved financial independence.,akatunga okwelema omubyasente
He will achieve financial independence.,naija okutunga okwelema omubyasente
I sang karaoke with my friends at the party last night.,nkazina karaoke namunyani wange hamukoro ijo ekiro
I will sing karaoke with my friends at the party last night.,ninyija okuzina karaoke namunyani wange hamukoro ijo ekiro
I have sung karaoke with my friends at the party last night.,nzinire karaoke namunyani wange hamukoro ijo ekiro
The chickens were fed with maize grain.,enkoko bakazirisa cacu
The chickens will be fed with maize grain.,enkoko nibaija okuzirisa cacu
The chickens have been fed with maize grain.,enkoko baikaire nibazirisa cacu
The Bachwezi was associated with the origins of kingship.,abachwezi bakaba baine obukama obwezarwa
The Bachwezi will be associated with the origins of kingship.,abachwezi nibaija okuba baine obukama obwezarwa
The Bachwezi has been associated with the origins of kingship.,abachwezi baikare baine obukama onwezarwa
The new comedy club has open mic nights for amateur comedians.,ebara eykatemba ekingwireho ekiro ekyamahano hali abakatemba abakuru
The new comedy club had open mic nights for amateur comedians.,ebara eyakatemba ekaba ekingwireho ekiro kyebyamahano hali abakatemba abakuru
The new comedy club has had open mic nights for amateur comedians.,ebara eyakayemba ekaba ekingwireho ekiro kyebyamahano hali abakatemba abakuru
The new currency notes are soon introduced.,sente zempapura empyaka balihaihi okuzireta
The new currency notes were soon introduced.,sente zempapura empyakabakaziturukya
The new currency notes have soon been introduced.,sente zempapura empyaka zibaire haihi okuturuka
What was your family history of cancer?,kiki ekibaire kyafayo ekyaka yawe hali kookoro
What will be your family history of cancer?,kiki ekirikwija kuba ekyafayo ekyeka yawe hali kookoro
What has been your family history of cancer?,kiki ekibaire ekyafayo kyawe hali kookoro
We welcome the new chief with a big celebration next month.,tutangira omuhikirwaho omuhyaka n'ekijaguzo kyamani omwezi ogurukwija
We welcomed the new chief with a big celebration next month.,tukatangira omuhikirwaho omuhyaka n'ekijaguzo kyamani omumwezi ogurukwija
We have welcomed the new chief with a big celebration next month.,tutangirirege omuhikirwaho omuhyaka n'ekijaguzo kyamani omumwezi ogurukwija
"We up all stayed night during Laylat al-Qadr, praying and seeking forgiveness.","tukaguma niturora ntwena hakiro ekyani, nitusaba kandi nitusera okuganyirwa"
"We will up all stay night during Laylat al-Qadr, praying and seeking forgiveness.","nitwija okumara ekiro ekyani kyona niturora, nitusaba kandi nitusera okuganyirwa"
"We have up all stayed night during Laylat al-Qadr, praying and seeking forgiveness.","ntwena tukamara ekiro kyona ekyamani niturora, nitusaba kandi nitusera okuganyirwa"
When my mother is diagnosed the whole family came together in a way l've never seen before.,obu basemize nyina nyowe eka yona eketerana hamu omulingo ogunkaba ntakaroraga
When my mother will be diagnosed the whole family came together in a way l've never seen before.,obu barasemeze nyina nyowe eka yona nija okuterana hamu omulingo oguntakaroraga
When my mother has been diagnosed the whole family came together in a way l've never seen before.,obu nyina nyowe abaire asemezibwe eka yona eketeraniza omulingo oguntakaroraga
"My pastor is with our family through births, deaths and everything in between.","omulisa wange ali n'eka yaitu okurabira omubuzale, kandi bulikintu hagati yaitu"
"My pastor was with our family through births, deaths and everything in between.","omulisa wange akaba n'eka yaitu okurabira omubuzale, kandi buli kintu hagati yaitu"
"My pastor will be with our family through births, deaths and everything in between.","omulisa wange naija okuba neka yaitu okurabira omubuzale, kandi buli kintu hagati yaitu"
The clinic offered same-day appointments for urgent cases.,irwaro rikatekaho ekiro eky'okutangatangana abarwaire abali omubwetago bwamani
The clinic will offer same-day appointments for urgent cases.,irwaro nirija okutekaho ekiro eky'okutangatanganiramu abarwaire abali omubwetago
The clinic has offered same-day appointments for urgent cases.,irwaro ritaireho ekiro eky'okutangatanganiramu abarwaire abali omubwetago
I needed to have my blood sugar levels checked regularly.,nyikaire ninyetagisa okukebeza sukali mumubiri buli kaire
I will need to have my blood sugar levels checked regularly.,ninyija okwetagisibwa okukebera sukali omumubiri buli kaire
I have needed to have my blood sugar levels checked regularly.,nyetagisibwe okukebera sukali omumubiri buli kaire
The river reclamation project restores the ecosystem for five years.,omulimo gy'okuzirukya ekisaru gugaraho obwomezi bw'ebihangwa okumara emyaka etaano
