english,lunyoro
"looking back, i realize that was the moment everything changed.","kurora enyuma , nibwe nakikiriize ngu niko buli kintu kyona obukyahindukire."
The marketing team is analyzing the return on investment of campaigns.,akatebe akobutale nikecencura ebirugire omubintu ebibyarwe
He has paid off his mortgage.,omusaija asaswire yamarayo ibanja eryomusimbo.
The questions i have now are deeper than the answers i had before.,ebikaguzo ebinyina hati bihamire kukira ebyokugarukamu ebinkaba nyina kara.
The Uganda Agreement of 1900 remains historically significant.,endagaano eya uganda ay 1900 ekyali y'omugaso.
Cover crops protect soil from erosion.,"ebirimwa ebibalima kulinda itaka kutatwarwa omugezi, omuyaga nokuletamu orwezo."
I sponsor a child in another country-it's a small way to make a difference.,mpererra omwana omwihanga erindi-kataito baitu nikoleka embaganiza.
We greet the elders with respect because they carry the wisdom of the past.,abantu bakuru tubaramukya nekitiniisa habwokuba betwekere amagezi agaira.
"I thank God every night before sleep , even on the hard days.","nsiima ruhhanga obuba bwizire ntakabyamire , nomubiro ebigumire."
The farm has diversified into fish farming.,ekitongole omubintu kirukukora kyeyongireho nokuliisa encu.
I've been waking up with headaches every morning.,mbaire ninyimuka ninteerwa omutwe buli nyenkya.
I measured my worth by my GPA for years—I'm still unlearning that.,nkepima nyenka kusoborra kwange kusigiki rra omwebi ebinakozire kumara emyaka nahati hoona nindengaho kubyebwa ryonka tibikanyebaga
I paid my internet bill yesterday.,ekiro kyaijo nsaswirege ibanja lya intaneti
Paradise is described as a garden with rivers flowing beneath it-that image comforts me.,iguru nirisobororwa kuba rugonjo orwina ebyambu ebirukuera hansi yarwo-ekisisani eki kimpumuza.
Intercropping maximizes land use.,kubyara embibo erukukira hemu omu musiri gumu kikonyera kukozesa kurungi itaka.
He persuaded them out of selling the house.,akabahabura kutatunda enju
"I ordered coffee, but they brought me tea by mistake -and l discovered my new favorite drink.","nkasaba cayi yakawa, baitu bandeteramu eyanmate habwensobi kandi namanyira ekyokunywa ekihyaka kyange."
The clinic offers well-child visits and vaccinations.,akarwarro kaine obuheereza bw'okufaaho abaana kubajanjaba n'okugema.
I've learned more about my own faith by talking to people of other faiths.,nyegere biingi hakwikiriza kwange habwokubaza nabantu abenyikiriza ezindi.
The rainmaker danced and prayed to bring the rain that would fill the rivers yesterday.,"ekiro ekyaijo, omwigi wenjura akacekeca kandi yasaba nukwo enjura eraijuza ebyambu bijule."
Do you mind if I sit here?,notayo kakuba tinyikarra hanu
"When I cook for my family, I think of it as an act of love-and prayer.",obuncumbira ekka yange ngitekerezaaho nkekikorwa ekyengonzi kandi okusaba.
I've been feeling short of breath when I exercise.,ndemererwa omu kwikya obu nkokora ebisasaizi.
"Back looks, i realize that was the moment everything changed.","obu ndora enyuma, nyetegereza ngu akokali kasumi nabere bulikimu kikahinduka"
"Will back look, i realize that was the moment everything changed.","ninyija okurora enyuma, nyetegereza nti akokali kasumi nambere bulikimu kyahindukire"
"Has back looked, i realize that was the moment everything changed.","ndozirege enyuma, kandi nayetegeraza akasumi nambere bulikimu kyahindukire"
The marketing team analyzed the return on investment of campaigns.,ekitebe ky'bakitunzi kikececura amagoba gakapuni
The marketing team will analyze the return on investment of campaigns.,ekitebe kyabakituzi nikija okwececura amagoba gakampuni
The marketing team has analyzed the return on investment of campaigns.,ekitebe kyabakituzi kyecwecwire amagoba gakampuni
He paid off his mortgage.,akasasura ibanja lyabanka
He will pay off his mortgage.,naija okusasura ibanja lyabanka
He has paid off his mortgage.,asaswire ibanja lyabanka
The questions were now deeper than the answers i had before.,ebikaguzo hati byali byenziha okukira e bigarukwamu ebinkaba nyine hanyuma
The questions will now be deeper than the answers i had before.,ebikaguzo nibija okuba byenziha okukira ebigarukwamu ebinkaba nyine hanyuma
The questions have now been deeper than the answers i had before.,ebikaguzo bibare byenziha okukira ebigarukwamu ebinkaba nyine
The Uganda Agreement of 1900 remained historically significant.,endagano ya uganda ey'omwaka gwa 1900 ekasigara nkekyafayo kyamani
The Uganda Agreement of 1900 will remain historically significant.,endagano ya uganda ey'omwaka gwa 1900 nija okusigara kyafayo kyamani
