english,lunyoro
The egret stood perfectly still in the shallow water.,enyange ekeemerra eterekeriire mumaizi agatahamire
I remember the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.,ninyujuka akasumi akananyiire kimu ngu nuwe nywani owahikire- obwataransekeriize omukasu kange akabi.
The stars shine brightly in the night sky away from city lights.,"enyunyuzi zaaka kukungi obuziba zili haraha ,n'etaara zomwabuga."
The researchers were studying bird migration patterns when they discovered a new species.,abebyokuseruliriza bakaba nibecumitiriza obubarozire emiringo y'ebinyonyi ebihyaaka.
Oral history projects record elders' memories.,enganikyo zoleka ebya abantu abakuru ebibamanyire
You'll need to apply heat or ice to the injured area.,noija kwetaagibwa kuteekaho obutagasi rundi obufuki ha kicweka ekihutaire.
The young men are building the new kraal for the cattle.,abasigazi nibakora orugo rw'ente.
The new theater will stage Shakespeare plays every summer.,enju yemizaano yaharutuutu empyaka nijja kwoolekaga emizano yasekisipiya buli bwiirre oburutagata
The medication may interact with other drugs.,omubazi nigusobora kukoragana n'emibazi endi.
Veterans returned with new ideas and expectations.,abasebeni bakagaruka nentekereza empyaka hamu nokunihira.
Colonial taxation forced many into wage labor.,omusoro og'wendema eya matwale kukahambiriza baingi kupagasa.
"When someone die in our village , the whole community comes together to support the family.","omukyaro kyaitu omuntu obwafa ,abasi,bensi boona baterana bazagika abafeerwa."
"When someone dies , the whole village comes to pay respects , whether they knew them well or not.","omuntu obwafa , ekyaro kiija kugaragara , kababe bamanyire kurungi rundi tibamanyire."
The goats are being dewormed regularly.,embuzi nizihebwa omubazi gwenjoka buli kasumi
"The first time I went to therapy, I was terrified of what I might discover about myself.",omurundi gwokubanza nkagenda kutunga obujanjabi ekintu ekibangambiire ekinkaba nsemerire kuzonzora nyowe nyenka.
You'll need to wear a cast for six weeks.,noija kwetaaga kujwara ekiseminti kumara sabiiti mukaaga.
"The grief comes in waves some days l can breath , some days l can't.","obusasi bwija nkebigonzi ebiro ebimu ninyikya ,ebiro ebindi tindukusobora."
The train ride through the countryside was so beautiful that i did'nt sleep a wink.,orugendo rwegaali y'omwika kuraba omu bugwa izooba rukaba muno habwokuba nta hungi reho kakube kukoimya.
"Everytime I think I've figured it out, I learn something new.","obuntekereza ngu nkyetegeriize,nubwo nyega ekintu ekihyaka."
The community collapsed in 1977 due to political differences.,ekitebe kikahwahi omumwaka ogwa 1977 habwobutetegerezangana omubyendema.
The economy is facing inflationary pressures.,obuguuda bwihanga butungire omurro ogwokutemba okwemihendo.
He has never missed a dividend payment.,omusaija takasferwaya embaagwa
"If the fever doesn't go down by tomorrow, come back to the clinic.","kakuba omuswija gutakeeha kikahika nyekya, ogaruke omu karwarro."
I've been having difficulty concetrating.,ntaaha nyine obuleemezi okutekaho omutiima.
Missionary writings document 19th century Uganda.,uganda ey'ekyasa ekya 19 eri omubihandiiko ebyabakwenda abenjiri.
She made me wait for an hour.,akandindisa kumara esaaha
The praise singer honored the chief's bravery with his song yesterday.,kiro kyaijo omuzini ahaisanizeege omunyoro habwo bumanzibwe.
The Babiito dynasty has ruled Bunyoro since the 16th century.,obulemi obw'ababiito bwebembiire bunyoro kuruga omukyasa ekya ikumi na mukaaga.
"If the government had invested in renewable energy earlier, we could have a cleaner environment now.",kakuba gavumenti yakozeseze kare amaani twakubaire lwiina ebitwehinguliriize ebyeowruuu muno.
I need to cut down on sugar.,ninyetaga kukehya sukali
The soil erosion has been forcing forcing farers to abandon their land and move to cities.,okusendwa kw'itaka kuleteriize abalimi kuleka itaka lyaabo bakagenda mu bibuga.
"If l hadn't mustered the courage to talk to her that day , we would have missed out on this friendship.","kakuba ntaratungire obumanzi bw'okubaza nawe eki, twakuferirwe buno obunywani."
Every person you meet knows something you don't—that's a chance to learn.,"omuntu weena owotaganana tangana anyina ekyamanyire iwe ekyotamanyire , kandi kinu nikisemera kukuha omugisa okwega"
He's the one who taught me that it's okay to ask for help.,nuwe yangambiire ngu kirungi kusaba obuyambi.
The egret stood perfectly still in the shallow water.,enyange ekaimera kurungi muno mumaizi gahaihi
The egret will stand perfectly still in the shallow water.,enyange nija kwemera kurungi muno omumaizi gahaihi
The egret has stood perfectly still in the shallow water.,enyange imerire kurrngi muno omumaizi gahaihi
I remembered the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.,ninyijuka akasumi kenyini nikimanya akaba munyani owamazima-atansekereze omukasumi obukaba nidi kubi
I will remember the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.,ninyija kwijuka akasumi kenyini akaba munyani owamazima-nambere atalinsekeraize omukasumi obukaba ndi kubi
I have remembered the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.,nyijukire aksumi kenyini nkimanyire akaba munyani owamazima-nambere atalinsekeraize omukasumi obukaba kubi
The stars brightly shone in the night sky away from city lights.,enyunyuzi zikaka muno ekiro omumwanya kukira ebitara by'omurubuga
The stars will brightly shine in the night sky away from city lights.,enyunyuzi nizija kwaka muno ekiro omumwanya kukira ebitara by'omurubuga
The stars have brightly shone in the night sky away from city lights.,enyunyuzi zakire muno ekiro omumwanya kukira ebitara by'omurubuga
The researchers study bird migration patterns when they discovered a new species.,abaserurizi basoma endubata y'ebinyonyi obu bazonzora ekika ekihyaka ekyebinyonyi
The researchers will study bird migration patterns when they discovered a new species.,abaserurizi nibaija kusoma endubata y'ebinyonyi obu barazonzora ekika ekihyaka ekyebinyonyi
The researchers have studied bird migration patterns when they discovered a new species.,abaserurizi basomereho endubata y'ebinyonyi obu bazonzoire ekika ekihyaka ekyebinyonyi
Oral history projected record elders ' memories.,ebyafayo eby'okubaza byayolekaga okwijuka kw'abantu abakuru
Oral history will project record elders ' memories.,ebyafayo eby'okubaza nibija kwoleka okwijuka kw'abantu abakuru
Oral history has projected record elders ' memories.,ebyafayo eby'okubaza byolekere okwijuka kw'abantu abakuru
You needed to apply heat or ice to the injured area.,obaire noyenda okutekaho okwokya rundi aisi nambere hatunire obuhuta
You will need to apply heat or ice to the injured area.,noija kwetagisa okutekaho kwokya rundi aisi nambere hatungire obuhuta
You have needed to apply heat or ice to the injured area.,oyetagisize okutekaho okwokya rundi aisi nambere hantungire obuhuta
The young men built the new kraal for the cattle.,abasaija abato bakombekere orugo r'ente oruhyaka
The young men will build the new kraal for the cattle.,abasaija abato nibaija okwombeka orugo rw'ente oruhyaka
The young men have built the new kraal for the cattle.,abasija abato bombekere orugo rw'ente ouhyaka
The new theater stages Shakespeare plays every summer.,sitage y'ebyemizano empyaka shakespeare azanira buli musizoni youmsana
The new theater staged Shakespeare plays every summer.,izaniroly'emizano erihyakalitekanizibwe shakespeare plays buli musizoni y'omusana
The new theater has staged Shakespeare plays every summer.,izaniro ly'emizano elihyaka balitekanize shakespeare azanira buli musizoni y'omusana
The medication interacted with other drugs.,obujanjabi bukakora hamu n'emibazi endi
The medication will interact with other drugs.,obujanjabi nibwija kukorahamu n'emibazi endi
The medication has interacted with other drugs.,obujanjabi bukozire hamu n'emibazi endi
Veterans returned with new ideas and expectations.,abazirweneho bakagaruka n'ebitekerezo ebihyaka kandi n'okunihira
Veterans will return with new ideas and expectations.,abazirweneho nibaija kugaruka n'ebitekerezo ebihyaka n'okunihira
Veterans have returned with new ideas and expectations.,abazirweneho bagarukire n'ebitekerezo ebihyaka n'okunihira
Colonial taxation forced many into wage labor.,omusoro gwa aberambanda gukahambiriza baingi omubusibi
Colonial taxation will force many into wage labor.,omusoro gwa aberambanda nigwija kuhambiriza baingi omubusibi
Colonial taxation has forced many into wage labor.,omusoro gwaberambanda guhambirize baingi omubusibi
"When someone die in our village, the whole community together came to support the family.","kakuba omuntu afwa omukyaro kyaitu, abantu bona besoroza baija okusagika eka"
"When someone die in our village, the whole community will together come to support the family.","kakuba omuntu afwa omukyaro kyaitu, abantu bona nibaija kwesoroza baije okusagika eka"
"When someone die in our village, the whole community has together come to support the family.","kakuba omuntu afwa omukyaro kyaitu, abantu bona baija kwesoroza baije okusagika eka"
"When someone died, the whole village comes to pay respects, whether they knew them well or not.","kakuba omuntu afwa, ekyaro kyona kija okunahukara, oba babamanyire muno rundi tibabamanyire"
"When someone will die, the whole village comes to pay respects, whether they knew them well or not.","kakuba omuntu afwa, ekyaro kyona nikija okunahukara, oba babamanyire muno rundi tibabamanyire"
"When someone has died, the whole village comes to pay respects, whether they knew them well or not.","kakuba omuntu afwa, ekyaro kyona kija okunahukara, oba babamanyire muno rundi tibabamanyire"
The goats were regularly dewormed.,embuzi bakaziha omubazi gw'enjoka nkabulikiro
The goats will regularly be dewormed.,embuzi nibaja kuziha omubazi gw'enjoka nkabulikiro
The goats have regularly been dewormed.,embuzi bazihare omubazi gw'enjoka nkabuliro
"The first time I go to therapy, I was terrified of what I might discover about myself.","omurundi gw'okubanza okugenda mwoyomubudabuda, nkatina ekinazonzora hali nyowe"
"The first time I will go to therapy, I was terrified of what I might discover about myself.","omurundi gw'okubanza ninyija kugenda mwomubudabuda, nkatina ekinazonzora hali nyowe"
"The first time I have gone to therapy, I was terrified of what I might discover about myself.","omurundi gw'okubanza nkagenda mwoyomubudabuda, nkatina ekinazonzora hali nyo"
You needed to wear a cast for six weeks.,okaba oine okujwara pulasita kumara wiiki mukaaga
You will need to wear a cast for six weeks.,noija kwetagisibya okujwara pulasita okumara wiiki mukaaga
You have needed to wear a cast for six weeks.,noyetagisa okujwara pulasita okumara wiiki mukaaga
"The grief came in waves some days l can breath, some days l can't.","ekiniga kiaizira omubicweka ebiro ebimu nisobora kwikya, ebiro ebindi tinkusobora"
"The grief will come in waves some days l can breath, some days l can't.","ekiniga nikija kwija omubicweka ebiro ebimu nisobora kwikya, ebiro ebindi tinkusobora"
"The grief has come in waves some days l can breath, some days l can't.","ekiniga kizirege omubicweka ebiro ebimu ninsobora okwikya, ebiro ebindi tinkusobora"
The train ride through the countryside was so beautiful that i did'nt sleep a wink.,egali y'omwika eraba aheru y'orubuga ekaba nungi muno nti nkaba ntasobora okubyama ntagirozire
The train ride through the countryside will so be beautiful that i did'nt sleep a wink.,egali y'omwika eraba aheru y'orubuga neja kuba nungi muno nti nkaba ntasobora okubyama ntagirozire
The train ride through the countryside has so been beautiful that i did'nt sleep a wink.,egali y'omwika eraba aheru y'orubuga ebaire nungi muno nti nkaba ntasobora kubyama ntagirozire
"Everytime I thought I've figured it out, I learn something new.","akasumi kona ntekereza ntungire okugarukwamu, nyega ekintu kihyaka"
"Everytime I will think I've figured it out, I learn something new.","akasumi kona ninyija kutekereza ntungire okugarukwamu, nyega ekintu kihyaka"
"Everytime I have thought I've figured it out, I learn something new.","akasumi kona mbaire nitekereza ntungire okugarukwamu, nyega ekintu kihyaka"
The community collapsed in 1977 due to political differences.,ekitebe kikagwa omu 1977 habw'okwahukana mupolipo
The community will collapse in 1977 due to political differences.,ekitebe nikija kugwa omu1977 habw'okwahukana mupolipo
The community has collapsed in 1977 due to political differences.,ekitebe kigwire omu 1977 habw'okwahukana mupolipo
The economy faced inflationary pressures.,ebyefuna bikahambirize emihendo y'ebintu okweyongera muno
