english,lunyoro
He's the one who taught me that it's okay to ask for help.,nuwe yangambiire ngu kirungi kusaba obuyambi.
"I didn't think I'd make it through that year, but here I am.","nkaba ntamanyire ndisobora kurabamu ogu omwaka, baitu dora kandi hanu."
Our children love hearing the story oh how we met -they make us tell it every anniversary.,abaana baitu benda kuhurra oruganikyo nkoku twatangatangaine.
UPDF has participated in peace keeping missions.,updf eketaba omubitebe kalinda businge.
My grandfather's funeral was a celebration of his life - e told stories and laughed through our tears.,"orufu rwalsenkuru nyowe rukuba rwokujaguza obuwomezibwe -nobukiraba tukaba tuli omumazisa, tukamubazaaho ,nokuseka twaseka."
"If l could do anything without fear of failure , l'd start my own business.","kakuba nakukozire ekintu ntaine butiine butiini bwokugwa, nakutandikireho entaahya yange."
When they made unexpected discoveries.,obubavumbuire ebibakaba batarukuruhira.
You'll need to keep your leg elevated to reduce swelling.,noyetaagwa kwikaza okuguru kuhanikirwe kukehya okuzimba.
"No matter what you say, I won't change my mind.",hobworambagambaki tinsobora kuhingisa ebitekerezo
Farmers use compost to improve soil structure.,abalimi bakozesa ebijunzire kwongera oburungi omu itaka.
Reconstruction efforts continue in affected areas.,kugarraho buhyaka ebyasisikaire nukugenda omumaiso omubikaro ebyasisikaire.
He has paid off all his debts.,omusaija asaswire amabanjage goona
The maize crop has been damaged by fall armyworm.,omusiri gw'ebicooli gulirwe kandi gwasiswa ihe ly'empuhira.
The researchers were studying the impact of climate change on food security when they developed new adaptation strategies.,"abarukuseruliriza bakaba nibecumuliriza habirukubaho habwempinda hinduka y'obwire haby'okulunda ebyokulya ,obubatandukire emihanda y'okulinda empyaaka."
Traditional crafts included barkcloth making.,omumirimo eyengaro ahakaba harumu n'okuteera embugo.
He has invested in a hedge fund.,omusaija abyaire omu mutemwa kahagura
She prides herself on her cooking.,ayehaisa we wenka habwencumbaye
The new theater will be accessible to people with disabilities.,ekiikaro kyokukoorramu emizaano nikiiji kwanguhira naabalema kukutahamu
We give the first milk from the cow to the ancestors.,"tubanza okuha abakuru abaira , amata agatubanza okukama omunte."
The treatment can be painful but is usually effective.,omubazi nigusobara kusasa baitu nigukora.
The environmental awareness campaign has reached over one million people.,kaliitango y'okwegesa habyobuhangwo ehikireho abantu abarukuhingura mukyaaro
We will celebrate the harvest festival at the end of the season.,hampero ey'ebiro eby'okugesa nitwija kukora obugenyi.
I find God more easily in nature than in any building .,ndora muno ruhanga omubimera kukira onubyombeko.
The new variety will be suitable for higher altitudes.,embibo enu emyaka nija ruba nungi ha bwebicweeka ebyensozi
The company is entering new markets.,kampuni eriyo netaaha omubutale obuhyaka.
The Tooro palace in Fort Portal attracts many visitors.,ekaali kya tooro omu fort portal kisikiriza abagenyi baingi.
I paid my property insurance yesterday.,ekiro ekyaijo nsaswirege ensuwarensi eya matungo gange
"Every ritual has a meaning, even if we don't always understand it.",buli murwa guba namakuru noobu kiraaba tutugetegereza.
I have a prayer I say when I'm falling asleep-it's the last thing on my mind.,nyina esaara eyinsaba obunkwatwa otuuro-nikyo kintu kyokumalirra ha bwongo bwange.
We offer extended warranties on electronics.,itwe tuha endagaano eraihireho eyokulinda ebyamasanyarazi ebiguzirwe.
"If the community had not overgrazed the land, the soil would still be fertile.","kakuba abasi bensi batungire itaka likooto eryokulisizamu, itaka lyakubaire likyarumu ekiriisa."
The central bank will lower interest rates.,banka enkuru niija kukekya amagoba
The patient is showing signs of sepsis.,omurwaire nayoleka oburorwaho bwokuba kubi.
I use a credit card for the rewards points.,nyowe nkozesa kaada -nsimbi habwobusiimo.
He will be the one who taught me that it's okay to ask for help.,nuwe akwija okunyegesa ngu tikine buzibu bwona okusaba obukonyezi
He has been the one who taught me that it's okay to ask for help.,abaire nuwe ogu eyanyegeseze ngu tikine buzibu bwona okukonyezi
"I did not think I'd make it through that year, but here I am.","nkaba ntakinihira nti ninyija kumaraho omwaka gunu, baitu hati ndihanu"
"I will not think I'd make it through that year, but here I am.","ntindikwija kunihira nti ninyija kumaraho omwaka gunu, baitu hati ndihanu"
"I have not thought I'd make it through that year, but here I am.","tikatekerezahoga nti ninyija okumaraho omwaka gunu, baitu hati ndihanu"
Our children heard the story of how we met -they make us tell it every anniversary.,abaana baitu bakahura nkonku twatangatagaine- batuletereza okukibazaho buli hanyuma y'omwaka mubuswere baitu
Our children will hear the story of how we met -they make us tell it every anniversary.,abaana baitu nibaija okuhura nkonku twatangatagaine - batuletereza okukibazaho buli hanyuma y'omwaka mubuswere baitu
Our children have heard the story of how we met -they make us tell it every anniversary.,abaana baitu bahulire nkonku twatangatagaine - batuletereza okukibazaho buli hanyuma y'omwaka mubuswere baitu
UPDF participates in peace keeping missions.,updf yetaba omubikorwa by'okulinda obusinge
UPDF participated in peace keeping missions.,updf eketaba omubikorwa by'okulinda obusinge
UPDF will participate in peace keeping missions.,updf nija okwetaba omubikorwa by'okulinda obusinge
My grandfather's funeral is a celebration of his life - e told stories and laughed through our tears.,orufu rwa isenkuru nyowe kiri kijaguzo ky'obwomezibwe - yatugambiraga enganikyo kandi twsekaga kuraba omumaziga gaitu
