english,lunyoro
"We made a pact in college that if neither of us was married by forty, we'd marry eachother.","tukakora endagaano mwitendekero ngu kuba omu hali itwe ataliswerwa ha myaka 40, twakuswiirwe ngana."
The new irrigation technology will save water.,amagezi amahyaka agoku fuhirra ebirimwa nigaija kukehya kusisa sisa amaizi.
Diwali is the festival of lights-we light lamps to celebrate good over evil.,"diwali kijaguzo kyebinyakujwa, tucumika etaara obunitujaguza ekirungi sitaani tumujumikire."
The government will increase taxes next year.,governmenti nufa kwongeza emsoro mwaka gurukwija
My biggest academic failure led me to a completely different path that I love.,kutakora kurungi omubyokweega kwange kikandetera kukwata omuhanda gundi hati ogundukugonza.
The community is developing a climate resilience plan to prepare for extreme weather events.,abantu bomukicweeka nebateekaniza erruhanda eyerankoonyera.
"The wildfire burned for weeks ,creating a smoke plume visible from space.","omuuroo g,woruiira gukamaara sabiiti nyingiho rwagwaaka , gwaleeta ekiika akyali kwri nkekwezu rwmwaanya."
The Bamasaba people hold the Imbalu ceremony every even year.,abantu abamasaba bajaguza imbalu omumwaka ogurukugabirwa ibiri.
The water scarcity has been causing conflict between communities for generations.,ibura lyamaizi litaaha nirireeta obutaikiirranza hagati yabantu kumara obwiire
The water in the lake is so clear that you can see the fish swimming.,amaizi munyanj nigeera tii! nosobora kwora n'encu zirukuziha.
The hospital has state-of-the-art equipment.,irwarro liine ebyooma by'okujanjaba eby'omutiima.
There's a monastery not far from here where l go for silent retreats.,monasutere eri haihi nuho ngenda habwenculeero.
Death is not the end-it's just a change of address.,okufa tikuli empero baitu okuhindura ekiikaro.
Every milestone taught me that I'm capable of more than I think.,buli kintu kyona ekigumire ekinarabiremu omubwomeezi bwange kikanyegesa ngu ninsobora kukira nkoku nkaba ninyenihira
I use a personal finance app to track my net worth.,nyowe nkozesa akatofali kange akensimbi kuhondereza mwolekya.
The children are learning the games that teach them about the stars in the sky.,abaana nibeega emizaano erukubegezaho ebyenyunyuzi ezomumwarya.
I compare interest rates before taking a loan.,ntakatwaire ibanja lyokweyohoza rubanza manya orulenfo rwamagoba
He had trouble understanding the accent.,atalibaine kwetegereza emibalize yabo.
"If we had planted more trees, the area would be cooler now.",kakuba twabyaire emiti rara ekiikaro kyaitu kiba rukituka
The elder told the story of the spirit that lives in the great tree yesterday.,ekiro ekyaijo omuntu mukuru abalizeho omuzimu ogwomuntu omukooto.
