english,lunyoro
The community is developing an ecotourism project to generate income and protect nature.,abantu nibatandikaho omulimo gwebyoburambuzi rutunga entaahya n'orulinda ebyobuhangwa
He has invested in a family business.,omusaija abyaire omubusubuzi obwa ekka.
The deforestation has been causing conflicts between farmers and wildlife.,kutemwa kwebibira kuleesire obutairiirra ruza hagati y'ebisoro n'abalimi.
I still have the birthday card she gave me fifteen years ago.,nkyaine ebbaruha eyamazaarwa eiyampaire emyaka ikumi netaano enyuma.
We wear special clothes for important ceremonies.,itwe tujwara engoye entongole hamikoro
She had been practicing conservation agriculture.,omukazi ataha nakozesa omulingo gwokukozesa kuruungi itaka nalimamu ebyokulya /ebirimu akaaumi nuko /kamu nalinda rurungi orwezo rwitaka
"The first time someone paid for my meal anonymously, l cried in the restaurant.",omurundi gwokubanza omuntu kunsasura abyekulya munsita nkarra muhoteri.
Archaelogical research at Ntuusi has revealed ancient earthworks.,ekikaro ekyokuseruliza ekya ntuusi nikiragirra ebyemirimo eyomwitaka.
"If you never ask ,the answer is always no.","obworaba otakakaguzaaaga ,ekigarukwamu nikikiva nangwa."
The Cross-Cultural Foundation of Uganda promotes cultural heritage.,ekitebe ekiteraniza amahanga omu uganda kitumbura ebyobuzalirwana.
Bunyoro's power declined after conflicts with Buganda and British.,amaani ga bunyoro gakakeha hanyuma yokuhumirangana na buganda hamu na bungereza.
The farmers will use drought resistant crop varieties to adapt to climate change .,abalimi rubaija kukozesa abirimwa ebirugumira omusana omwingi ebitali bimu habwokwemanyiiza empindahindu.
He was cooking dinner when I arrived.,abairege nacumba ekyarwebagyo obwahikirege
I still have the notebook where l wrote down all my childhood dreams.,nkyaine akatabu nambere nahandikiire byona ebirooto ebyomubuto bwange.
Tooro Kingdom separated from Bunyoro in the early 19th century.,tooro ekeecwaho bunyoro omu matandika ag'ekyasa ekya ikumina mwenda.
The inter faith group i joined as a teenager shaped how i see the world.,ekitebe kyamadiini goona ekinatahire ndi musigazi kikankonyera kurora ansi omumulingo oguhikire.
The new policy will encourage sustainable business practices.,emikorre emihyaka niija kwekambisa ebikorwa ebyokwikazaaho obusubuzi
The best gift l ever received wasn't bought - it was the time my father spent teaching me something.,ekisembo ekirungi ekinatungire kitaraguzirwe nukookakssumi isenyowe yamazire nanyegesa ekintu.
"I heard a child ask their parent, ""Why is the sky blue?"" and remembered when I wondered that too.",nkahurra omwana nakaguza bazaire be ngu habwaki iguru lya bururu.
I walked across that stage for my parents as much as for myself.,obunkaba nindubatana omu maiso gabantu ninyerabyamu nkaba ninkiorra abazaire bange kandi nahabwange nyenka.
I transferred money to my savings account yesterday,ekiro ekyaijo nkata ensimbi ha kwawuntu (nkondo yange eyamainuka
He had been working in retail for years before he opened his own shop.,abaire natunda laija-laija atakakingwireho eduukaye wenka.
The conservationists will release the rehabilitated animals back into the wild.,abebintu ebitwehinguliriize nibaija kulekera ebisoro ebigaruirwe munteeko nibabigaarra mukisaka.
The healer prepared the medicine from the bark of the sacred tree yesterday.,kiro kyaijo omufumo atekanizege omubazi kuruga omu mababi agomuti gwemirwa.
The year my father lost his job was the hardest year of my childhood.,omwaka isenyowe yaterinwe omulimogwe gwali mwaka gugumangaine mubutobwange.
The company is facing financial difficulties.,kampuni etingire okugumiriirwa
The treatment is covered by most insurance plans.,obujanjabi buli ha kwahurra ebyomumaiso zoona.
The farmer is digging trenches for irrigation.,nahima emikura yokutwara amaizi ( gokufuhitiza omu misiri gokufuhirra).
"When we move into a new home, we have a housewarming prayer to ask for blessings.","obutuba nituttaaha enfu empyaka, tuba nokusabira enfuempyaka kugisabira omugisa."
We accept returns for store credit only after 30 days.,itwe twikiriza ebigarukire kutwaramu ekindi omubiro makumi asatu
"When my child tells me a worry, I say, ""Let's pray about it.""","omwana wange obwangambira ekyokweralikiriza,ngamba,""leka tukisabire"""
Kindness is the one language everyone understands.,enbabazi nurwo rulimi rwooka buli omu aruku- etegereza oketegereza.
