english,lunyoro
The clam burrowed into the sand when the tide went out.,ekyenyanja rulindwa ngamba kikezimbiiko mumusenyi obwe bigonzi byaculiire
We circle the kaaba seven times during Hajj-it reminds us of the unity of believers.,twetoroora kaaba emirundi musanju omukasumi ka hajji-kitumanyisa obumu bwabaikiriza.
The wound became infected despite proper care.,ekihoya kikatahwamu obuhuka noobu kikarolererwa nkooku kisemerire.
"When I held my newborn baby, I understood God's love for us in a new way.","obunahimbire omwana waitu,nketegereza okugonza kwa ruhanga halitwe buhyaka."
Pre-colonial trade routes connected the interior to the coast.,emihanda eyobusubuzi yateranizaaga ensi eza hagati kuhika hamwaro omukooto.
Yoweri Museveni formed the popular Resistance Army.,yoweri museveni akataho amahe agaboona rwangirra.
Colonial officials recorded local customs and languages.,abalemi aba matwale bakahandika engeso zobusi bwensi hamu n'ediini.
What is your exercise routine like?,ebisasaizi byawe obikora ota kandi bwireki?
I wound up staying longer than planned.,nakwikaireho akasumi karaihireho kukira akankaba ntegekere
The virus is airborne and spreads easily.,oburwaire obukuleetwa obuhuka nibujanjarra bwangu omu muyaga.
The dancers had been rehearsing the harvest dance for months before the festival.,"abazini bamazina bataaha niarabamu amazina kokugesa , kumara ameezi omwoleko gutakahikire."
The treament requires regular blood tests to monitor liver function.,obujanjabi nibwetaagisa kukebera esagama yawe kukeberwa buli kaire okwecencura enkora y'obune.
Our community has kept the peace through the words of the elders.,ebigambo ebyobusinje kuruga hali abakuru birinzire obusinge omubantu baitu.
The children are learning the games that teach them to be patient.,abaana nibeega emuzaano eyokubegesa okugumisiriza.
Cowrie shells were used currency in pre-colonial times.,obusonsogoro bwobutindinda bwakozesibwaga nka sente omubusinge obwobulemi obwamatwale butakabaireho.
The sculptor has carved a statue of the village hero.,omwehangahangi webisaru nyaisatu akozire ekisisaru kyemanzi rurangaaanwa mukyaaro
Have you ever had a reaction to anesthesia?,oratungireho obulemezi kuruga hamubazi gw'okukabisa batakakusemize?
The kangaroo hopped away with its baby in its pouch.,ekisoro rwakisahu kikwuka kyagenda kuli nomwaana wakyo mukisahu
"I asked my grandma what she saw- she smiled and said, ""Light"".","nkakaguza nyinenkuru nyowe obwakaba omumpiko zokufa nti,nororaki-akamwegerra yagamba ati ""eyererezi""."
l remember the day l got my library card so many posibilities,ninyijuba kurungi omurundi gwange ogwokuba kumuga ekikaasa kyokwetiirizaho ebitabu omulyahurro lyebitabu nkamanyira kimu nti hati emihanda yange nyingi
It was in Paris that they first met.,bakabanza kutangatarra parisi
"The first time I tasted fresh coconut, lt was magic.",omurundi ogwokubanza ogunaroleezeeho enaz kikamatiza ngu majiki.
What are your dietary restrictions?,byokulyaki ebi otasemeriire kutalya.
The sponge filtered water through its pores to get food.,obusoro rwomunyanja rusengiija burasengiija amaizi kuraba mubuhuru bwabwo kutunga ekyokulya
I have a Quran that belonged to my great-grandfather -it's one of my most precious possessions.,nyina koran yaisenkuru nyowe omukuru egikintu kyangekyomuhendo.
She'd like you to come to her party.,yakugondeze oije ha bugenyibwe.
"Dear God ,please watch over my family and keep then safe.",ai ruhanga nolema ekayange kandi obalinde.
"If you look closely, you'll see that every ending carries the seed of a new beginning.",obwokurorra haihi buli malirra ehimba embibo y'entandikwa ehyaka.
The inflation rate will stabilize soon.,orulengo rwemihendo nurwija kutekaana omubwanfu
Our family has always welcomed strangers into our home.,ekka yaitu etangirra entambaruki omuka yaitu.
"My aunt tells the story of how she met her husband at a market so vividly, l feel like i was there.",nyinento nyowe agamba nkooku yatangatangaine musaija we mukatale.
"If we use cold water for laundry, we can save energy and reduce emissions.","kakuba twogiisa amaizi garukufuka, ntuuba ntukeehyaabo kutuumuka kw'orwooya orurukugenda mumwanya."
I have a group chat with my school friends that's been active for ten years.,nyina guruupa yabeegi twasomere nabo omu isomero eyitubalizaaho hati twakagimaraho emyaka ikumi-duu
I can't imagine living without electricity.,tinsobora kutera akasisani kwikara tutaine amasanyarazi.
